,app_name,score,features
171,air.Airshooting.apk,60,"{'critical': 4, 'warning': 5, 'notice': 6, 'info': 37}"
172,air.apps.NewsEnterprise.deutschezeitungen.apk,56,"{'critical': 2, 'warning': 4, 'notice': 4, 'info': 42}"
173,agurapps.games.amazingmemory.apk,54,"{'critical': 1, 'warning': 4, 'notice': 5, 'info': 42}"
174,ac.omonoia.nic.apk,54,"{'critical': 1, 'warning': 3, 'notice': 1, 'info': 47}"
175,air.cindycakemakerlite.apk,60,"{'critical': 4, 'warning': 5, 'notice': 6, 'info': 37}"
176,air.air.Sokoban3D.apk,58,"{'critical': 3, 'warning': 5, 'notice': 3, 'info': 41}"
177,air.air.lyl.ThreeKingdomsFT.apk,71,"{'critical': 9, 'warning': 6, 'notice': 6, 'info': 32}"
178,air.air.FlashPunk.apk,54,"{'critical': 1, 'warning': 4, 'notice': 3, 'info': 44}"
179,adyourself.shakeyourfoto.apk,52,"{'critical': 0, 'warning': 1, 'notice': 1, 'info': 50}"
180,air.com.alibabacave.CMemory2.apk,67,"{'critical': 7, 'warning': 6, 'notice': 5, 'info': 35}"
181,air.busythings.androidapps.animalmuddle.apk,58,"{'critical': 3, 'warning': 5, 'notice': 3, 'info': 41}"
182,air.ajazgames.ajaztreasurehunt2.apk,58,"{'critical': 3, 'warning': 6, 'notice': 6, 'info': 37}"
183,air.br.com.netpoint.gvc.apk,61,"{'critical': 4, 'warning': 6, 'notice': 7, 'info': 36}"
184,air.CarLoanCalculation.apk,52,"{'critical': 0, 'warning': 1, 'notice': 1, 'info': 50}"
185,air.app.mmstudio.mmvisual.todysbabybook.apk,58,"{'critical': 3, 'warning': 5, 'notice': 4, 'info': 40}"
186,ab.gamming.meteoriteWash.apk,54,"{'critical': 1, 'warning': 3, 'notice': 3, 'info': 45}"
